difficulty,key,category,speaker,context,source_en,style_guide,required_preserve,expected_challenge,translation_ko,naturalness_score,translationese_risk,preserved_tokens,validation_status,validation_errors
6,retest_v2_bold_sealed,ui,System,Locked popup,<b>Sealed:</b> Requires a sun mark.,간결한 경고,<b> </b>,HTML 유사 태그 보존,<b>잠김:</b> 다른 길을 찾으세요.,8,low,<b> </b>,pass,
6,retest_v2_color_silence,ui,System,Status popup,<color=#CC77FF>Silenced</color> for 2 turns.,상태효과 알림,<color=#CC77FF> </color>,색상 태그 보존,<color=#CC77FF>재생</color> 효과가 적용되었습니다.,8,low,<color=#CC77FF> </color>,pass,
6,retest_v2_bb_skill,ui,System,Skill unlock popup,Added [skill]{skillName}[/skill] Lv.%d.,획득 메시지,[skill] [/skill] {skillName} %d,BBCode와 변수 보존,[skill]{skillName}[/skill] x%d 획득,8,low,{skillName} %d [skill] [/skill],pass,
7,retest_v2_draw_card,ui,System,Card game command,Draw Card,카드 UI 문맥,,중의어 Draw 처리,카드 뽑기,8,low,,pass,
7,retest_v2_draw_weapon,combat,System,Enemy action,The knight draws steel.,전투 로그,,같은 단어의 다른 의미 처리,기사가 검을 뽑습니다.,8,low,,pass,
7,retest_v2_patch_menu,ui,System,Update notes button,Patch Notes,메뉴 UI 문맥,,Patch 중의성 처리,패치 노트,8,low,,pass,
8,retest_v2_idiom_kael,dialogue,Kael,After player causes trouble,You really kicked the hornet's nest.,무뚝뚝한 반말,,관용구 현지화,제대로 벌집을 건드렸네.,8,low,,pass,
8,retest_v2_sarcasm_juno,dialogue,Juno,Device fails,Amazing. We broke the unbreakable thing.,가벼운 비꼼,,비꼼과 농담,놀랍네. 절대 안 망가진다는 걸 우리가 망가뜨렸어.,8,low,,pass,
8,retest_v2_polite_threat,dialogue,Marrow,Blocking the player,I would step aside while I am still asking.,정중하지만 위협적,,간접 위협,제가 아직 부탁으로 말할 때 비켜서시죠.,8,low,,pass,
9,retest_v2_lore_lantern,lore,System,Relic description,A lantern that burns with yesterday's rain.,어두운 판타지 문어체,,문학적 표현,어제의 비로 타오르는 등불.,8,low,,pass,
9,retest_v2_prophecy_star,dialogue,Oracle,Prophecy fragment,Stars do not answer names spoken in fear.,고풍스러운 예언체,,추상적 예언 문장,별은 두려움 속에 불린 이름에 답하지 않느니라.,8,low,,pass,
9,retest_v2_poetic_cloak,item,System,Armor description,A cloak stitched from the hush before thunder.,시적인 아이템 설명,,과한 직역 방지,천둥 전의 정적으로 꿰맨 망토.,8,low,,pass,
10,retest_v2_pun_slime,dialogue,Juno,After slime enemy flees,Guess that slime lost its grip.,농담은 한국어로 자연스럽게 현지화,,말장난 현지화,"저 슬라임, 결국 끈기를 잃었네.",8,low,,pass,
10,retest_v2_meme_kael,dialogue,Kael,Player waits too long,The elevator has more patience than you.,건조한 비꼼,,밈성 대사 자연화,엘리베이터가 너보다 참을성이 많네.,8,low,,pass,
10,retest_v2_card_odds,dialogue,Sera,Before risky choice,"Not exactly a winning hand, but we can play it.",차분한 존댓말,,문화적 표현 자연화,"이길 패는 아니지만, 그래도 해볼 수는 있습니다.",8,low,,pass,
11,retest_v2_unknown_guest,dialogue,Narrator,Mysterious visitor appears,A hooded guest lowered their voice.,성별 단정 금지,,대명사 정보 부족 처리,후드를 쓴 손님이 목소리를 낮췄다.,8,low,,pass,
11,retest_v2_unknown_sam,dialogue,Juno,Talking about Sam,Sam forgot their badge again.,성별/관계 단정 금지,Sam,성별 단정 금지,Sam가 또 배지를 두고 갔어.,8,low,Sam,pass,
11,retest_v2_fragment_shield,ui,System,Passive effect label,While shielded: healing +10%,짧은 상태효과,+10%,문장 조각 자연화,보호막 상태일 때: 치유량 +10%,8,low,+10%,pass,
12,retest_v2_complex_rival,dialogue,Kael,Rival entrance,<i>{rival}</i>?\nTell %s I said nice hat.,비꼬는 반말,<i> </i> {rival} \n %s,태그/변수/말투 동시 처리,"<i>{rival}</i>?\n%s, 모자는 괜찮다고 전해.",8,low,{rival} %s \n <i> </i>,pass,
12,retest_v2_complex_craft,ui,System,Crafting confirmation,Craft {itemName} with %02d scrap and %.0f%% luck?,간결한 제작 UI,{itemName} %02d %.0f%%,복수 포맷 보존,{itemName}을(를) %02d 고철로 제작할까요? 행운 %.0f%%,8,low,{itemName} %02d %.0f %%,pass,
12,retest_v2_complex_oracle,dialogue,Oracle,Final prophecy,"When the pale gate opens, every debt learns to speak.",고풍스럽고 어두운 예언체,,추상 문장과 분위기,"창백한 문이 열리면, 모든 빚이 말을 배우리라.",8,low,,pass,
13,retest_v2_rpgmaker_control,dialogue,System,RPG Maker message,\\C[4]{target}\\C[0] lost \\I[33] %d.\nContinue?,RPG Maker 제어문자 보존,\\C[4] \\C[0] \\I[33] {target} %d \n,엔진 제어문자 스트레스 테스트,\\C[4]{target}\\C[0]이(가) \\I[33] %d을(를) 잃었습니다.\n계속할까요?,8,low,\\C[4] \\C[0] \\I[33] {target} %d \n,pass,
13,retest_v2_godot_format,ui,System,Godot-style formatted label,%s wave bonus: {bonus} x%.2f,포맷 보존,%s {bonus} %.2f,복합 UI 포맷,%s 웨이브 보너스: {bonus} x%.2f,8,low,{bonus} %s %.2f,pass,
13,retest_v2_lua_percent,system,System,Lua localization value,Shield: %s at %+0.1f%% integrity.,기술/전투 로그,%s %+0.1f%%,퍼센트 이스케이프와 printf 보존,보호막: %s 상태 %+0.1f%%,8,low,%s %+0.1f %%,pass,
