difficulty,key,category,speaker,context,source_en,style_guide,required_preserve,expected_challenge,translation_ko,naturalness_score,translationese_risk,preserved_tokens,validation_status,validation_errors
8,retest_v3_idiom_brann,dialogue,Brann,Plan starts going badly,This is going sideways fast.,무뚝뚝한 반말,,관용구 현지화,빠르게 꼬이고 있네.,8,low,,pass,
8,retest_v3_sarcasm_tech,dialogue,Iris,Robot reboots late,"Perfect timing, as always.",가벼운 비꼼,,비꼼,언제나처럼 타이밍 참 완벽하네.,8,low,,pass,
8,retest_v3_polite_danger,dialogue,Maris,Guard blocks passage,Please do not make me repeat the warning.,정중하지만 단호함,,간접 위협,경고를 다시 드리게 만들지 마십시오.,9,low,,pass,
9,retest_v3_lore_mirror,lore,System,Cursed mirror description,A mirror that shows the room after you leave it.,어두운 판타지 문어체,,문학적 표현,떠난 뒤에야 방의 모습을 비추는 거울.,8,low,,pass,
9,retest_v3_oracle_tide,dialogue,Seer,Prophecy shard,The tide remembers feet that never touched the shore.,고풍스러운 예언체,,추상 문장,밀물은 끝내 해안에 닿지 못한 발걸음을 기억하느니라.,8,low,,pass,
9,retest_v3_poetic_boots,item,System,Equipment description,Boots lined with the quiet of old snow.,시적인 아이템 설명,,과한 직역 방지,오래된 눈의 정적으로 안감을 댄 장화.,8,low,,pass,
10,retest_v3_pun_robot,dialogue,Iris,After defeating broken robot,Guess it finally lost its drive.,농담은 자연스럽게,,말장난,드디어 동력이 빠졌나 보네.,8,low,,pass,
10,retest_v3_meme_brann,dialogue,Brann,Player stares at locked chest,"At this rate, the chest retires first.",건조한 비꼼,,밈성 대사,이 속도면 상자가 먼저 은퇴하겠네.,8,low,,pass,
10,retest_v3_risk_ella,dialogue,Ella,Before risky gamble,"The odds are ugly, but they are still odds.",차분한 존댓말,,문화적 표현,"승산은 엉망이지만, 그래도 승산은 있습니다.",8,low,,pass,
11,retest_v3_unknown_runner,dialogue,Narrator,Unidentified runner appears,"A runner passed by, hiding their badge.",성별 단정 금지,,대명사 처리,배지를 숨긴 주자가 지나갔다.,9,low,,pass,
11,retest_v3_unknown_taylor,dialogue,Iris,Talking about Taylor,Taylor left their radio on.,성별/관계 단정 금지,Taylor,성별 단정 금지,Taylor가 무전기를 켜 둔 채 떠났어.,9,low,Taylor,pass,
11,retest_v3_fragment_focus,ui,System,Passive effect label,When focused: cooldown -1,짧은 상태효과,-1,문장 조각,집중 시: 재사용 대기시간 -1,9,low,-1,pass,
12,retest_v3_complex_duel,dialogue,Brann,Duel intro,<u>{duelist}</u>?\nTell %s to pick a better coat.,비꼬는 반말,<u> </u> {duelist} \n %s,복합 포맷,<u>{duelist}</u>?\n%s한테 코트부터 제대로 고르라고 해.,8,low,{duelist} %s \n <u> </u>,pass,
12,retest_v3_complex_upgrade,ui,System,Upgrade confirmation,Upgrade {module} using %03d parts at %.1f%% risk?,간결한 강화 UI,{module} %03d %.1f%%,복수 포맷,{module}을(를) 부품 %03d개로 강화할까요? 위험도 %.1f%%.,9,low,{module} %03d %.1f %%,pass,
12,retest_v3_complex_seer,dialogue,Seer,Final omen,"When white crows gather, silence will choose a king.",고풍스럽고 어두운 예언체,,추상 문장,"흰 까마귀들이 모이면, 침묵이 왕을 택하리라.",8,low,,pass,
13,retest_v3_rpgmaker_codes,dialogue,System,RPG Maker control text,\\C[6]{unit}\\C[0] gained \\I[45] %s x%02d.\nEquip now?,RPG Maker 제어문자 보존,\\C[6] \\C[0] \\I[45] {unit} %s %02d \n,엔진 제어문자,\\C[6]{unit}\\C[0]이(가) \\I[45] %s x%02d 획득.\n지금 장착할까요?,8,low,\\C[6] \\C[0] \\I[45] {unit} %s %02d \n,pass,
13,retest_v3_godot_meter,ui,System,Godot format label,Sector %02d: {online}/{total} online.,포맷 보존,%02d {online} {total},복합 UI 포맷,구역 %02d: {online}/{total} 온라인.,9,low,{online} {total} %02d,pass,
13,retest_v3_lua_escape,system,System,Lua status string,"Oxygen: %s at %.0f%%, leak %+d.",기술 로그,%s %.0f%% %+d,퍼센트/부호 포맷,"산소: %s %.0f%%, 누출 %+d.",9,low,%s %.0f %+d %%,pass,
